,date,good_matches_day,bad_matches_day,good_rate,bad_rate,horizon
0,03-04,4,10,0.2857142857142857,0.7142857142857143,-6
1,03-05,62,62,0.5,0.5,0
2,03-06,39,65,0.375,0.625,-26
3,03-07,81,70,0.5364238410596026,0.46357615894039733,11
4,03-08,102,75,0.576271186440678,0.423728813559322,27
5,03-09,10,15,0.4,0.6,-5
6,03-10,7,12,0.3684210526315789,0.631578947368421,-5
7,03-11,51,93,0.3541666666666667,0.6458333333333334,-42
8,03-12,42,86,0.328125,0.671875,-44
9,03-13,54,83,0.39416058394160586,0.6058394160583942,-29
10,03-14,99,119,0.4541284403669725,0.5458715596330275,-20
11,03-15,90,117,0.43478260869565216,0.5652173913043478,-27
12,03-16,17,28,0.37777777777777777,0.6222222222222222,-11
13,03-17,17,28,0.37777777777777777,0.6222222222222222,-11
14,03-18,49,83,0.3712121212121212,0.6287878787878788,-34
15,03-19,92,105,0.467005076142132,0.5329949238578681,-13
16,03-20,80,94,0.45977011494252873,0.5402298850574713,-14
17,03-21,56,119,0.32,0.68,-63
18,03-22,101,103,0.4950980392156863,0.5049019607843137,-2
19,03-23,9,13,0.4090909090909091,0.5909090909090909,-4
20,03-24,20,17,0.5405405405405406,0.4594594594594595,3
21,03-25,115,89,0.5637254901960784,0.4362745098039216,26
